mir	20127_1_1	20127_1_2	20127_1_3	20127_1_4	20127_1_5	20127_1_6
hsa-mir-3130-5p	3	2	10	3	2	3
hsa-mir-6775-5p	2	2	2	0	3	0
hsa-mir-151a-5p	26647	34365	67432	29298	38119	26831
hsa-mir-6884-5p	1	1	3	1	2	0
hsa-mir-16-5p	18260	16529	38190	16900	20150	19740
hsa-mir-6516-3p	2	1	5	4	0	5
hsa-mir-26a-1-3p	0	3	15	1	3	3
hsa-mir-6755-5p	1	5	5	4	2	3
hsa-mir-6735-3p	1	0	1	1	3	3
hsa-mir-1197	0	0	0	0	1	1
hsa-mir-628-5p	34	41	67	32	41	52
hsa-mir-203b-3p	90	96	116	74	77	94
hsa-mir-526b-5p	1	1	1	0	1	1
hsa-mir-556-3p	1	4	6	3	5	2
hsa-mir-101-5p	30	22	42	29	34	27
hsa-mir-5009-5p	2	1	4	4	1	2
hsa-mir-548u	2	4	9	4	15	5
hsa-mir-4433b-3p	0	0	1	0	0	0
hsa-mir-653-3p	11	12	10	10	12	10
hsa-mir-4446-5p	3	1	7	4	2	3
hsa-mir-6764-5p	2	2	3	0	0	4
hsa-mir-6763-3p	2	0	5	1	4	1
hsa-mir-6511a-3p	133	154	302	149	190	224
hsa-mir-520d-3p	3	0	1	1	4	1
hsa-mir-4509	0	1	0	0	1	0
hsa-mir-942-3p	1	3	17	1	4	8
hsa-mir-6733-3p	0	0	0	0	0	1
hsa-mir-5094	49	145	172	131	160	106
hsa-mir-3616-5p	2	4	9	4	5	3
hsa-mir-96-3p	14	18	52	30	31	26
hsa-mir-6511b-5p	0	0	2	0	0	0
hsa-mir-8079	2	1	4	5	2	0
hsa-mir-760	162	157	279	117	139	181
hsa-mir-4744	0	0	1	0	0	0
hsa-mir-6516-5p	8	8	14	5	4	11
hsa-mir-3648	87	113	142	236	203	105
hsa-mir-4479	15	10	12	8	6	16
hsa-mir-4667-5p	1	3	4	2	2	1
hsa-mir-1236-3p	0	0	2	1	0	0
hsa-mir-3127-5p	37	61	91	62	52	73
hsa-mir-4684-3p	1	0	0	0	0	0
hsa-mir-4327	0	0	0	1	0	0
hsa-mir-4502	14	17	33	17	18	8
hsa-mir-4497	109	104	58	193	222	22
hsa-mir-4492	1	11	2	11	9	4
hsa-mir-204-5p	4	0	1	2	1	2
hsa-mir-4277	0	1	0	0	0	0
hsa-mir-3653-5p	0	2	7	2	4	3
hsa-let-7a-5p	121545	136121	252513	103333	142321	157365
hsa-mir-4430	7	27	53	17	15	39
hsa-mir-30b-3p	92	88	178	81	68	123
hsa-mir-219a-2-3p	0	0	1	0	1	0
hsa-mir-6832-5p	0	2	3	0	0	3
hsa-mir-1249-3p	65	105	265	96	76	130
hsa-mir-6726-5p	0	0	1	0	0	1
hsa-mir-211-3p	0	1	0	0	0	0
hsa-mir-139-5p	16	18	26	18	16	21
hsa-mir-3140-3p	5	14	23	11	14	11
hsa-mir-3183	6	5	3	4	4	2
hsa-mir-4728-5p	0	1	1	0	1	0
hsa-mir-922	0	1	0	1	0	0
hsa-mir-611	1	0	1	0	0	0
hsa-mir-943	10	15	19	14	23	25
hsa-mir-4747-3p	0	3	1	0	0	0
hsa-mir-4712-5p	1	0	1	0	0	2
hsa-mir-6787-5p	3	1	1	0	2	0
hsa-mir-5685	0	0	0	0	2	0
hsa-mir-1205	0	0	0	0	1	0
hsa-mir-711	0	1	2	0	0	1
hsa-mir-6801-5p	1	0	2	1	1	1
hsa-let-7c-5p	2049	2180	4079	1846	2382	2895
hsa-mir-92a-2-5p	1	0	0	0	1	0
hsa-mir-7515	0	0	0	1	0	0
hsa-mir-1253	0	1	0	2	1	0
hsa-mir-6879-3p	0	0	2	0	1	0
hsa-mir-6797-5p	0	3	2	1	0	3
hsa-mir-6751-5p	4	0	4	1	5	2
hsa-mir-3065-3p	247	230	525	245	334	421
hsa-mir-374b-5p	2	1	4	0	4	5
hsa-mir-6730-5p	0	0	1	0	0	0
hsa-mir-3659	2	1	1	0	1	0
hsa-mir-5006-3p	2	2	0	1	2	1
hsa-mir-18b-3p	0	0	1	0	0	0
hsa-mir-205-3p	18	32	16	17	34	21
hsa-mir-6821-3p	0	0	0	0	2	0
hsa-mir-3941	0	1	0	1	1	0
hsa-mir-4664-5p	1	0	1	0	0	1
hsa-mir-548ap-5p	3	2	6	2	1	1
hsa-mir-379-5p	0	2	1	0	0	0
hsa-mir-5695	1	1	8	4	4	3
hsa-mir-6804-5p	0	8	4	1	4	1
hsa-mir-7847-3p	2	3	0	6	3	3
hsa-mir-636	39	29	54	21	46	42
hsa-mir-99b-5p	217024	453662	785364	307383	451744	239097
hsa-mir-619-5p	69	143	242	145	115	139
hsa-mir-502-5p	3	6	6	8	11	12
hsa-mir-1915-5p	9	9	12	8	15	16
hsa-mir-93-3p	105	139	263	127	146	120
hsa-mir-127-5p	0	0	0	1	0	0
hsa-mir-6753-5p	1	0	0	2	0	1
hsa-mir-548ar-5p	6	3	2	7	5	3
hsa-mir-3607-3p	221	517	512	343	342	377
hsa-mir-150-5p	4	1	8	2	0	4
hsa-mir-4665-5p	1	0	0	0	0	2
hsa-mir-662	0	0	1	0	0	0
hsa-mir-3120-5p	0	0	1	0	0	0
hsa-mir-6515-5p	0	1	3	0	3	1
hsa-mir-3189-3p	0	1	4	0	1	1
hsa-mir-2276-5p	3	0	8	4	1	2
hsa-mir-500a-3p	1376	2440	4508	2147	2937	1953
hsa-mir-6781-3p	1	2	0	0	0	0
hsa-mir-497-5p	700	650	1073	623	813	744
hsa-mir-6817-5p	0	0	3	0	0	0
hsa-mir-3199	1	4	5	5	9	2
hsa-mir-485-5p	2	4	1	2	1	1
hsa-mir-631	0	1	0	0	0	0
hsa-mir-4312	0	0	0	0	1	0
hsa-mir-1273g-3p	59	152	229	136	77	147
hsa-mir-455-5p	118	98	152	87	120	102
hsa-mir-4265	0	0	0	0	0	2
hsa-mir-4526	1	5	6	4	1	2
hsa-mir-3161	8	4	13	7	3	3
hsa-mir-1266-5p	470	486	858	490	610	583
hsa-mir-1307-5p	2350	1968	5654	3114	3199	3735
hsa-mir-518d-3p	0	0	1	0	0	0
hsa-mir-6791-5p	0	0	1	0	0	0
hsa-mir-6500-3p	0	0	0	0	0	1
hsa-mir-6844	2	4	0	3	3	3
hsa-mir-4778-3p	3	0	0	3	1	0
hsa-mir-6836-5p	3	3	6	2	1	5
hsa-mir-363-5p	2	0	0	0	2	0
hsa-mir-4707-3p	16	18	26	21	15	20
hsa-mir-516a-5p	9	17	35	24	18	10
hsa-mir-4442	0	1	2	0	0	0
hsa-mir-5701	1002	926	1968	1126	1519	1251
hsa-mir-4449	8	11	10	15	6	7
hsa-mir-188-3p	7	4	22	7	8	8
hsa-mir-23a-3p	1704	2056	4586	1894	2295	2253
hsa-mir-381-3p	65	58	61	31	53	45
hsa-mir-6727-3p	0	0	1	0	0	0
hsa-mir-3911	10	13	22	10	22	18
hsa-mir-378c	724	700	1072	579	782	717
hsa-mir-520c-3p	0	0	0	0	0	1
hsa-mir-7108-3p	3	9	3	27	14	1
hsa-mir-7152-3p	0	1	0	0	2	0
hsa-mir-3191-5p	0	0	0	1	0	0
hsa-mir-1227-3p	0	0	1	0	0	0
hsa-mir-6727-5p	2	0	5	1	3	2
hsa-mir-28-5p	251	247	646	222	258	251
hsa-mir-4647	0	3	1	2	1	5
hsa-mir-6776-5p	0	0	0	1	1	1
hsa-mir-1178-3p	0	0	0	0	1	0
hsa-mir-1224-5p	19	22	55	47	28	55
hsa-mir-3134	0	1	1	1	2	1
hsa-mir-2114-5p	1	2	0	1	0	1
hsa-mir-5689	16	9	26	18	24	9
hsa-mir-5010-5p	1	0	1	1	1	2
hsa-mir-196b-3p	0	0	1	0	0	0
hsa-mir-145-3p	0	0	3	1	1	0
hsa-mir-590-5p	19	31	38	15	35	20
hsa-mir-4729	0	0	1	0	0	0
hsa-mir-3681-5p	0	0	0	0	0	2
hsa-mir-661	0	0	3	0	0	0
hsa-mir-6857-3p	0	0	0	0	1	2
hsa-mir-3936	0	0	5	1	0	0
hsa-mir-6510-3p	13	19	27	7	9	4
hsa-mir-3202	0	0	0	0	1	0
hsa-mir-4661-5p	8	9	16	13	12	12
hsa-mir-4706	1	4	3	4	1	1
hsa-mir-198	0	1	0	0	0	0
hsa-mir-1288-5p	0	0	4	0	0	3
hsa-mir-1271-3p	1	0	0	0	0	0
hsa-mir-1278	7	2	11	4	11	3
hsa-mir-5692c	2	0	2	5	1	2
hsa-mir-586	0	0	0	0	2	0
hsa-mir-21-3p	379934	389788	626755	299748	408451	410573
hsa-mir-7150	0	0	1	1	0	0
hsa-mir-6716-5p	0	0	1	1	0	0
hsa-mir-4791	42	40	87	58	61	61
hsa-mir-6789-5p	3	7	4	5	5	5
hsa-mir-141-3p	7205	6084	12460	6215	7249	7211
hsa-mir-525-5p	1	1	2	0	1	0
hsa-mir-1273d	88	107	337	153	102	217
hsa-mir-3149	4	6	11	10	12	7
hsa-mir-4645-3p	0	1	4	4	2	4
hsa-mir-6738-5p	0	1	0	0	0	0
hsa-mir-486-3p	0	2	10	6	3	2
hsa-mir-4503	1	0	0	0	0	0
hsa-mir-16-1-3p	6	12	20	17	13	10
hsa-mir-4480	1	0	0	0	2	1
hsa-mir-3678-3p	1	0	0	0	0	1
hsa-mir-1255b-5p	1	0	3	0	0	0
hsa-mir-378h	1	0	1	1	0	3
hsa-mir-4466	153	161	258	94	143	197
hsa-mir-496	0	0	0	0	2	0
hsa-mir-3124-5p	0	0	1	0	1	0
hsa-mir-758-3p	1	3	4	3	2	6
hsa-mir-363-3p	15	16	26	17	32	9
hsa-mir-491-3p	1	0	7	1	2	6
hsa-mir-3133	1	2	2	0	2	3
hsa-mir-4745-3p	4	4	15	18	10	10
hsa-mir-3908	7	9	24	21	8	15
hsa-mir-6870-5p	0	0	0	1	0	0
hsa-mir-5680	15	2	15	10	19	27
hsa-mir-548f-5p	0	0	0	0	0	2
hsa-mir-146b-3p	29	32	60	26	26	30
hsa-mir-3142	0	0	0	0	1	0
hsa-mir-454-5p	369	360	689	402	397	419
hsa-mir-1306-3p	11	7	14	10	4	8
hsa-mir-1305	1	7	9	10	4	4
hsa-mir-605-5p	0	0	0	1	0	0
hsa-mir-3178	75	118	3	252	237	4
hsa-mir-6812-5p	6	1	11	2	2	4
scrambled	0	0	0	1053	1291	1547
